S.No,Sentence,Annotator 1,Annotator 2,IAA,Char_Length,Word_Count,Is_English,label
2585,"Just as you make certain assumptions that never change regarding evo, so does the Creationist hold that certain absolutes exist regarding Creation, such as a personal God created all that is. We understand science can't prove God which is a huge stumbling block for the evolutionist, but isn't one at all for us because we can see the spiritual which evades the scientific perspective at all levels of understanding. And ID would insist that it is evolution that's the atheistically motivated pseudo science, so we will continue to disagree there also.",Non-Sarcastic,Non-Sarcastic,Agree,552,91,True,Non-Sarcastic
2586,We gotta GET them law-abiders for having the audacity to believe the Constitution's Bill of Rights! Huh Brady!,Sarcastic,Sarcastic,Agree,110,18,True,Sarcastic
2588,"Yeah, your potential spouse will like you for your personality after you meet the prerequisite of being the proper gender for them.",Sarcastic,Sarcastic,Agree,131,22,True,Sarcastic
2589,Your wrong. Airplanes and courthouses are gun free zones but these places never have massacres.,Non-Sarcastic,Non-Sarcastic,Agree,95,15,True,Non-Sarcastic
2590,"maddow is pretty fantastic! she's smart, prepared, funny. puts a story in context, and knows how to do an interview - almost always one-on-one, she lets the other person speak, asks pointed questions, etc. best pundit on tv.",Non-Sarcastic,Non-Sarcastic,Agree,224,38,True,Non-Sarcastic
2591,"Really? A human can be determined scientifically. Personhood is a human legal construct. You cannot prove scientifically what a ""person"" is.",Non-Sarcastic,Non-Sarcastic,Agree,140,21,True,Non-Sarcastic
2592,"It's probably defensive to some extent on both sides. A lot of atheists I've run into seem to be out to prostlytize as well--they are basically evangelists for the atheist way of thinking. Religiously atheist, you might say. They're looking for opportunities to assert the atheist message. And I've read some pretty darn hateful things said about Christianity right here in these forums, and just chalking it up to be ""defending"" or ""kicking back"" doesn't really fly. Who knows who threw the first punch? It's to the point that it doesn't really matter anymore, because both sides should be showing respect.",Non-Sarcastic,Non-Sarcastic,Agree,607,101,True,Non-Sarcastic
2593,They don't live in an environment where such events are likely. At one time there were several species of hominini living at the same time. Evolution is more bushlike that ladder like. It just so happens that we are the only species that remains.,Non-Sarcastic,Non-Sarcastic,Agree,246,44,True,Non-Sarcastic
2594,"Well, if you claim you can give 95% of Americans a tax cut then you'd have to be on par with Jesus.",Sarcastic,Sarcastic,Agree,99,22,True,Sarcastic
2595,oh yeah same here. i sadly have no more tolerance for prodigee anymore. i highly dislike him. hopefully this doesnt sounds harsh.,Non-Sarcastic,Non-Sarcastic,Agree,129,22,True,Non-Sarcastic
2596,"It is horribly oppressive of women, though, to oppose both abortion and contraceptives. That means that women will have no control over their pregnancies at all.",Non-Sarcastic,Non-Sarcastic,Agree,161,26,True,Non-Sarcastic
2597,Well excuuuuse me if I screwed that up in this post. Have a nice day. :),Sarcastic,Sarcastic,Agree,72,16,True,Sarcastic
2598,no i sure don't need to. i made an observation that gun free zones don't work verstanden sie? you need to prove they do if you don't agree. the shooter sure knew there wouldn't be any firearms around from his military experience. it is quite evident to anyone with an iq above room temp who he bore a grudge against. try again slim.,Sarcastic,Sarcastic,Agree,332,63,True,Sarcastic
2599,"Three questions:   What country operates under an ""unbridled capitalism"" system?   Can you name any nation that has operated under your idea of socialism successfully?   If the American system of government is so terrible, why do we have one of the highest standards of living on earth?   Just because you think you are entitled to what I earn doesn't make it so. Earn your own.",Non-Sarcastic,Non-Sarcastic,Agree,378,64,True,Non-Sarcastic
2600,"i think your post brings up a good point, and that's that to discuss torture, there needs to be a good understanding of what constitutes torture.  what are we talking about, exactly? just listening to loud music? loud music at 125 db 24/7 resulting in sleep deprivation? physical torture? or how about humiliation, like forced nakedness? simple prisoner punishment? having to eat a different diet? i think some things could be torture and some not, depending on the person being tortured, as well. it's a complicated subject--too complicated just to throw out some all-inclusive word like 'torture' and be able to adequately discuss it.",Non-Sarcastic,Non-Sarcastic,Agree,636,104,True,Non-Sarcastic
2601,"The continents didn't move around much at all, smart one.emoticonXRolleyes God made the continents close to the way they are today just 4000-8000 years ago.
The Tower of Babel is fact. The Bible never lies.",Sarcastic,Sarcastic,Agree,207,35,True,Sarcastic
2602,Well I am polishing my grave dancing shoes as these people in their 70's can not live forever.,Sarcastic,Sarcastic,Agree,94,18,True,Sarcastic
2603,"and bill clinton didn't? obama doesn't? emoticonxdonno let me help you with that. emoticonxangel she's a conservative! i'll bet her upcoming debate with biden will get far more attention than mccain/obama did! i'll sure be watching! word has it that the moderator is an obama lover.  i'm just surprised that so many consider it so important how one performs in these quick witted, personality contests. just because a person is slightly off the mark in wits doesn't mean he/she would not be a good leader - able to make sound political decisions.  looks aside, pelosi's a dingbat compared to palin. she gets a free pass from the news media - ho hum.",Sarcastic,Sarcastic,Agree,649,112,True,Sarcastic
2604,And it is much easier to have an abortion than to be a mother.,Non-Sarcastic,Non-Sarcastic,Agree,62,14,True,Non-Sarcastic
2605,"Like evolution, right? You have your conclusion, so everything else must adhere to it. Just answer the question. How to you account for the statements above?",Sarcastic,Sarcastic,Agree,157,26,True,Sarcastic
2606,"Wow that statement was so full of knowledge! I BOW TO YOU OH MOST KNOWLEDGABLE SIMONE!!! I AM NOT WORTHY OF THY GREAT UNDERSTANDING OF THE WORLD! IN FACT, YOU MUST BE GOD BECAUSE YOU KNOW EVERYTHING!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",Sarcastic,Sarcastic,Agree,236,37,True,Sarcastic
2607,Is there something wrong with choosing to have a cheese sandwich as opposed to peanut butter and jelly? Do you prefer actually having to make personal moral choices or do you need a rigid and inviolable instruction manual to run your life?,Sarcastic,Sarcastic,Agree,239,42,True,Sarcastic
2608,"Yes, we shouldn't let those slaves be citizens, they will burden our legal system since they will now have...OMG...rights!",Sarcastic,Sarcastic,Agree,122,19,True,Sarcastic
2609,"where were you when we discussed this twice previously?  nice slur, good way to show your false 'compassion' emoticonxcry depends where it hits. two to the center and one to the head is the accepted protocol. i posted dr. fackler's, the leading authority on 'wounds', previously. did you miss it and the miami dade shooting events? scroll back dearie.",Sarcastic,Sarcastic,Agree,351,59,True,Sarcastic
2610,Which is precisely why the law must needs be silent when it comes to women choosing whether or not to continue their pregnancies.emoticon_xhoho,Non-Sarcastic,Non-Sarcastic,Agree,143,23,True,Non-Sarcastic
2611,"his lies, his media darling status, my post above answers your question for you.",Non-Sarcastic,Non-Sarcastic,Agree,80,14,True,Non-Sarcastic
2612," as their having guns doesn't serve the state.\""--Heinrich HimmlerFor pledging their support of Nazi ideals  we proudly award \""Yes\"" the Medal of Holocaust and Genocide. Congratulations  you're now a supporter of Hitler."" and you win the PINK PANTIES award!I got news for you PUNK - my family fled the Nazi's on foot in WWII ",Sarcastic,Sarcastic,Agree,326,54,True,Sarcastic
2613,"care to support that with statistics? oh wait, you can't. why? because there isn't a global census on what people believe. so unless you've interviewed 7 billion people on their faith (at which point you could inform the un and several other governing bodies), i don't see how you can be in any position to claim 'religion is slowly fading.'",Sarcastic,Sarcastic,Agree,341,60,True,Sarcastic
2615,"Well, I guess you can refuse to see something that's pretty obvious. It's up to you.",Sarcastic,Sarcastic,Agree,84,16,True,Sarcastic
2616,you're kidding right? the quangbar tangrians will be abducting you and the rest of the human souls at the end of the world. everyone knows this.,Sarcastic,Sarcastic,Agree,144,26,True,Sarcastic
2617,"and how is it a red herring? bearing in mind that forcing one person to harm themselves physically for another is illegal in the us, it's illogical to make this rule apply only to pregnant women. as pregnancy is always harmful, the woman cannot be forced by law to go through it even if you think a zef is a baby.",Non-Sarcastic,Non-Sarcastic,Agree,313,61,True,Non-Sarcastic
2618,"bravo, i'm impressed (i tried to come up with some clever rhyme but i couldn't think of anything)",Non-Sarcastic,Non-Sarcastic,Agree,97,18,True,Non-Sarcastic
2619,Well I know that's where your people got their start. Right out of the left rear flank of a large fore-headed knuckle-dragger.,Sarcastic,Sarcastic,Agree,126,22,True,Sarcastic
2621,"So then the law is flawed because criminals could just as easily get their hands on select firearms, ban or no ban. You've just admitted that the bill did nothing and thus there's no justification for it to be reinstated.",Non-Sarcastic,Non-Sarcastic,Agree,221,40,True,Non-Sarcastic
2622,"yeah just like you and your idols Glenn Beck, Rush Limbaugh, etc.",Sarcastic,Sarcastic,Agree,65,12,True,Sarcastic
